,timestamp,open,high,low,close,volume
0,2020-11-19 19:19:00,116.47,116.47,116.47,116.47,1000
1,2020-11-19 18:38:00,116.45,116.45,116.45,116.45,119
2,2020-11-19 18:20:00,116.3,116.3,116.3,116.3,210
3,2020-11-19 18:03:00,116.28,116.28,116.28,116.28,272
4,2020-11-19 18:01:00,116.43,116.43,116.43,116.43,296
5,2020-11-19 17:18:00,117.18,117.18,117.18,117.18,1464
6,2020-11-19 16:56:00,117.01,117.01,117.0,117.0,1470
7,2020-11-19 16:37:00,117.03,117.03,117.03,117.03,106
8,2020-11-19 16:36:00,117.41,117.41,117.41,117.41,587
9,2020-11-19 16:23:00,117.04,117.04,117.04,117.04,161
10,2020-11-19 16:14:00,117.18,117.18,117.18,117.18,121
11,2020-11-19 16:11:00,117.1683,117.1683,117.1683,117.1683,156
12,2020-11-19 16:10:00,117.18,117.18,117.18,117.18,13534
13,2020-11-19 16:08:00,117.18,117.18,117.18,117.18,4910
14,2020-11-19 16:02:00,117.18,117.18,117.18,117.18,48299
15,2020-11-19 16:01:00,117.18,117.18,117.18,117.18,17735
16,2020-11-19 16:00:00,117.1,117.27,117.1,117.2,53890
17,2020-11-19 15:59:00,117.14,117.18,117.09,117.09,29829
18,2020-11-19 15:58:00,117.08,117.15,117.055,117.13,29209
19,2020-11-19 15:57:00,117.11,117.175,117.05,117.07,25070
20,2020-11-19 15:56:00,117.2,117.21,117.1,117.13,24803
21,2020-11-19 15:55:00,117.2,117.22,117.18,117.1875,12932
22,2020-11-19 15:54:00,117.255,117.255,117.185,117.215,13849
23,2020-11-19 15:53:00,117.25,117.28,117.23,117.26,17892
24,2020-11-19 15:52:00,117.28,117.28,117.21,117.245,14689
25,2020-11-19 15:51:00,117.17,117.3,117.17,117.27,17159
26,2020-11-19 15:50:00,117.21,117.21,117.15,117.16,6747
27,2020-11-19 15:49:00,117.21,117.21,117.14,117.2,13622
28,2020-11-19 15:48:00,117.2489,117.28,117.18,117.2,13156
29,2020-11-19 15:47:00,117.2972,117.31,117.23,117.26,8205
30,2020-11-19 15:46:00,117.29,117.3,117.22,117.3,11818
